long,long,long,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,flags,flags,str,
26,249,0,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
323,249,1,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
27,269,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
127,269,1,,,,,,,,,"Для героической сложности требуется ключ Времени.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
28,289,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
29,309,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x3F480,0x14,"RAID_DIFFICULTY_20PLAYER",
30,329,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
31,349,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
32,369,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
33,389,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
34,409,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x28,"RAID_DIFFICULTY_40PLAYER",
35,429,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
36,449,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
37,450,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
38,451,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
39,469,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x28,"RAID_DIFFICULTY_40PLAYER",
40,489,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
41,509,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x3F480,0x14,"RAID_DIFFICULTY_20PLAYER",
42,529,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
43,530,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
44,531,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x28,"RAID_DIFFICULTY_40PLAYER",
45,532,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
46,533,0,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
128,533,1,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
47,534,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
48,540,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
129,540,1,,,,,,,,,"Для героической сложности требуется ключ, выкованный в пламени.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
49,542,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
130,542,1,,,,,,,,,"Для героической сложности требуется ключ, выкованный в пламени.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
50,543,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
131,543,1,,,,,,,,,"Для героической сложности требуется ключ, выкованный в пламени.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
51,544,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
52,545,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
132,545,1,,,,,,,,,"Для героической сложности требуется ключ Сокровищницы.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
53,546,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
133,546,1,,,,,,,,,"Для героической сложности требуется ключ Сокровищницы.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
54,547,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
134,547,1,,,,,,,,,"Для героической сложности требуется ключ Сокровищницы.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
55,548,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
56,550,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
57,552,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
135,552,1,,,,,,,,,"Для героической сложности требуется деформированный ключ.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
58,553,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
136,553,1,,,,,,,,,"Для героической сложности требуется деформированный ключ.",,,,,,,,0xFF01FE,0x15180,0x0,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
59,554,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
137,554,1,,,,,,,,,"Для героической сложности требуется деформированный ключ.",,,,,,,,0xFF01FE,0x15180,0x0,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
60,555,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
138,555,1,,,,,,,,,"Для героической сложности требуется Аукенайский ключ.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
61,556,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
139,556,1,,,,,,,,,"Для героической сложности требуется Аукенайский ключ.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
62,557,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
140,557,1,,,,,,,,,"Для героической сложности требуется Аукенайский ключ.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
63,558,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
141,558,1,,,,,,,,,"Для героической сложности требуется Аукенайский ключ.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
64,559,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
65,560,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
142,560,1,,,,,,,,,"Для героической сложности требуется ключ Времени.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
66,562,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
67,564,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
68,565,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
69,566,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
70,568,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x3F480,0xA,"RAID_DIFFICULTY_10PLAYER",
71,571,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
72,572,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
73,573,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
74,574,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 65-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
143,574,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
75,575,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
144,575,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
76,576,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 66-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
145,576,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
77,578,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 75-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
146,578,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
78,580,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
79,582,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
80,584,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
81,585,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
147,585,1,,,,,,,,,"Для героической сложности требуется выполнить задание""Страшный противник"".",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
82,586,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
83,587,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
84,588,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
85,589,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
86,590,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
87,591,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
88,592,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
89,593,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
90,594,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
91,595,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 75-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
148,595,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
92,596,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
93,597,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
94,598,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
149,598,1,,,,,,,,,"Для героической сложности требуется ключ Солнечной Кузни.",,,,,,,,0xFF01FE,0x15180,0x0,"",
95,599,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 72-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
150,599,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
96,600,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 69-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
151,600,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
97,601,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 67-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
152,601,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
98,602,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 75-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
153,602,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
99,603,0,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
154,603,1,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
100,604,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 71-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
155,604,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
101,605,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
102,606,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
103,607,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
301,607,1,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
104,608,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 70-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
156,608,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
105,609,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
106,610,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
107,612,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
108,613,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
109,614,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
110,615,0,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
157,615,1,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
111,616,0,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
158,616,1,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
112,617,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
113,618,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
114,619,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 68-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
159,619,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
115,620,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
116,621,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
117,622,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
118,623,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
119,624,0,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня. Кроме того, Озеро Ледяных Оков должно находиться под контролем ваших сил.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
160,624,1,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня. Кроме того, Озеро Ледяных Оков должно находиться под контролем ваших сил.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
120,628,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
281,628,1,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
485,631,0,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
486,631,1,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
487,631,2,,,,,,,,,"Прежде чем попробовать свои силы в рейде героического уровня сложности на 10 игроков, вы должны одержать верх над Королем-личом в составе рейда нормальной сложности на 10 игроков.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
488,631,3,,,,,,,,,"Прежде чем попробовать свои силы в рейде героического уровня сложности на 25 игроков, вы должны одержать верх над Королем-личом в составе рейда нормальной сложности на 25 игроков.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
481,632,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 75-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
482,632,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
121,641,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
122,642,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
123,647,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
124,649,0,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
161,649,1,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
221,649,2,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER_HEROIC",
222,649,3,,,,,,,,,"Чтобы войти, вы должны находиться в составе рейда и быть не ниже 80-го уровня.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER_HEROIC",
125,650,0,,,,,,,,,"Чтобы войти, вы должны быть не ниже 75-го уровня.",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
162,650,1,,,,,,,,,"Для героической сложности требуется 80-й уровень.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
483,658,0,,,,,,,,,"Чтобы войти в Яму Сарона, вы должны выполнить задание ""Тени замученных душ"".",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
484,658,1,,,,,,,,,"Чтобы войти в Яму Сарона в героическом режиме сложности, вы должны выполнить задание ""Тени замученных душ"" и достичь 80-го уровня.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
341,668,0,,,,,,,,,"Чтобы войти в Залы Отражений, вы должны выполнить задание ""Зачистка Ямы"".",,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
342,668,1,,,,,,,,,"Чтобы войти в Залы Отражений в героическом режиме сложности, вы должны выполнить задание ""Зачистка Ямы"" и достичь 80-го уровня.",,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
642,712,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
641,713,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
701,718,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
744,723,0,,,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
750,724,0,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
751,724,1,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
752,724,2,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
753,724,3,,,,,,,,,"Чтобы войти, вы должны достичь 80-го уровня и находиться в составе рейда.",,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
